Model,CV_F1_mean,CV_F1_std,Test_Accuracy,Test_F1_macro
RandomForest_Balanced,0.6745483072685807,0.038215383790916296,0.7250996015936255,0.6848701005651315
CategoricalNB,,,0.6812749003984063,0.6634025146047747
LogisticRegression,0.665883406732737,0.025168868760033523,0.7171314741035857,0.6924568428655175
